time, intensity
1645341575,-68900000.0
1645341576,-77100000.0
1645341576,-86200000.0
1645341576,-95500000.0
1645341576,-102200000.0
1645341576,-102200000.0
1645341576,-102200000.0
1645341576,-102200000.0
1645341576,-102200000.0
1645341576,-102200000.0
1645341576,-102200000.0
1645341577,-102200000.0
1645341577,-102200000.0
1645341577,-102200000.0
1645341577,-102100000.0
1645341577,-98100000.0
1645341577,-92900000.0
1645341577,-85900000.0
1645341577,-79200000.0
1645341577,-70100000.0
1645341577,-61500000.0
1645341578,-51900000.0
1645341578,-41900000.0
1645341578,-34700000.0
1645341578,-23800000.0
1645341578,-15000000.0
1645341578,-6400000.0
1645341578,100000.0
1645341578,100000.0
1645341578,100000.0
1645341578,100000.0
1645341579,100000.0
1645341579,100000.0
1645341579,100000.0
1645341579,100000.0
1645341579,100000.0
1645341579,100000.0
1645341579,100000.0
1645341579,100000.0
1645341579,100000.0
1645341579,100000.0
1645341580,100000.0
1645341580,100000.0
1645341580,-300000.0
1645341580,-2200000.0
1645341580,-4300000.0
1645341580,-6100000.0
1645341580,-9200000.0
1645341580,-13900000.0
1645341580,-19600000.0
1645341580,-24200000.0
1645341581,-31600000.0
1645341581,-37900000.0
1645341581,-45400000.0
1645341581,-53100000.0
1645341581,-61000000.0
1645341581,-68000000.0
1645341581,-75800000.0
1645341581,-83600000.0
1645341581,-90500000.0
1645341582,-99800000.0
1645341582,-102200000.0
1645341582,-102200000.0
1645341582,-102200000.0
1645341582,-102200000.0
1645341582,-102200000.0
1645341582,-102200000.0
1645341582,-102200000.0
1645341582,-102200000.0
1645341582,-102200000.0
1645341583,-102200000.0
1645341583,-101100000.0
1645341583,-96600000.0
1645341583,-91400000.0
1645341583,-84600000.0
1645341583,-77500000.0
1645341583,-69700000.0
1645341583,-60100000.0
1645341583,-49200000.0
1645341583,-40300000.0
1645341584,-30500000.0
1645341584,-21900000.0
1645341584,-13200000.0
1645341584,-4600000.0
1645341584,100000.0
1645341584,100000.0
1645341584,100000.0
1645341584,100000.0
1645341584,100000.0
1645341584,100000.0
1645341585,100000.0
1645341585,100000.0
1645341585,100000.0
1645341585,100000.0
1645341585,100000.0
1645341585,100000.0
1645341585,100000.0
1645341585,100000.0
1645341585,100000.0
